Unnamed: 0,Hospital,Doctor,Specilization,Experience
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. R Dinesh Reddy,Associate Consultant - Surgical Oncology and Robotic Surgery,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Raja Aravinda Sai Gogineni,Associate Consultant - Anasthesia,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Rajesh Bathini,Consultant - Medical Gastroenterology,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Rajesh Chandra,Consultant -  Medical Gastroenterologist,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. RamaKrishna Vangara,Senior Consultant - Radiation Oncology,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Ratti Dilip Kumar,"Senior Consultant - Cardiothoracic, Minimal Invasive, Robotic and Heart transplant Surgeon",
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Ravi D,Consultant - Laparoscopic and Minimal Access Surgeon,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Ravi Sankar Ganji,Consultant -  Urology Renal Transplant Surgery & Robotic Surgery,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. S Hema Sowjanya,Consultant - Dermatologist,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. S K Moinuddin Chisty,Associate Consultant - Interventional Paediatric Cardiology,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. S Krishna Raja,Associate consultant - Radiology,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Sagar Vemuri,Consultant - Anesthesiologist,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Samarasimha Reddy D,Associate Consultant - Cardiology,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Sarada M,Consultant - Oral Medicine and Radiology,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Satish Babu M,Consultant - Radiologist,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Shankar Rao U,Consultant - Cardiac Anesthesia,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Sravan Kumar Bodepudi,Consultant - Medical Oncology and Bone Marrow Transplant Physician,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Sridhar A.V.S.S.N,Consultant - Nephrology and Renal Transplant Physician,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Srinivasa Rao .T,Consultant - ICU and Critical Care,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Srinivasan B,"Consultant - Emergency Medicine, Accident and Emergency Care",
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Sudheer Kumar .G,Consultant - Neurosurgery,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Swarna K,Consultant - Radiology,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Uday Kiran G,Consultant - Interventional Pulmonology,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. V B Praveen Naidu,Consultant - Diabetes and Endocrinology,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. V Dinesh Kumar Gontla,Consultant - Critical Care,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. V Srikanth Reddy,Consultant - Radiology,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Vamsi Chalasani,Consultant - Neurologist,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Varun Dasari,Consultant:- Surgical Gastroenterology & Robotic Surgery,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Varun Pamidi,"Associate Consultant - Cardiothoracic, Vascular and Minimal Invasive Surgeon",
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Vemuri Nandan,Consultant - Vascular Surgery,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Venkata Krishna Sandeep,Consultant - ENT Head & Neck Surgery and Cochlear Implant Surgeon,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Vikram Kudumula,Senior Consultant - Interventional Paediatric Cardiology,
,"Manipal Hospitals in Tadepalli,Vijayawada",Dr. Vuppu Ravikanth,Consultant - Neuro and Spine Surgeon,
,,,,
,"Aster Ramesh Guntur, Aster Ramesh Vijayawada Main, Aster Ramesh Vijayawada MG Rd",Maj. Gen. Dr.Somasundaram Kumaravelu Retd.,Chief Consultant - Neurology,
,"Aster Ramesh Guntur, Aster Ramesh Vijayawada Drin, Aster Ramesh Vijayawada  Nsilpa c",Dr. Silpa Chowdari Nallapaneni,HOD - Critical Care Department,
